,stratched.skin_gandom,stratched.skin_sabze,stratched.skin_white,roundness.skin_gandom,roundness.skin_sabze,roundness.skin_white
eyecolor_rangi,7.04,6.78,8.54,6.62,6.42,7.6
eyecolor_brown,6.72,6.7,6.72,6.46,6.28,7.3
eyecolor_black,6.96,6.66,7.62,7.02,7.02,8.06
eyesize_d,7.4,7.1,6.98,7.12,7,7.72
eyesize_r,4.56,4.52,4.5,4.84,4.28,4.94
eyesize_m,6.06,6.5,7.12,6.54,6.7,6.98
nose_flat.fleshy,5.6,5.74,6.36,5.72,6.48,6.92
nose_hunched.fleshy,4.64,3.96,4.62,4.42,4.7,4.84
nose_flat.skinny,6.32,7.08,7.6,6.8,6.72,6.84
nose_hunched.skinny,5.14,5.14,5.44,4.66,4.3,4.78
nose_fantasy,4.78,4.92,4.84,5.08,4.74,5.7
lips_d,4.3,4.38,4.54,4.94,4.82,4.8
lips_m,6.94,6.92,7.72,7.34,7.36,7.28
lips_k,4.48,4.36,4.4,4.7,4.32,4.32
