,stratched.skin_gandom,stratched.skin_sabze,stratched.skin_white,roundness.skin_gandom,roundness.skin_sabze,roundness.skin_white
eyecolor_rangi,6.7,6.44,7.64,6.76,6.5,8.22
eyecolor_brown,6.94,6.64,7.18,6.16,6.96,6.74
eyecolor_black,6.34,6.14,7.22,6.6,6.18,7.62
eyesize_d,7.16,6.96,7.54,6.98,6.94,7.98
eyesize_r,3.88,4.12,4.42,4.34,4.08,4.16
eyesize_m,6.18,5.7,6.26,6.44,5.5,6.54
nose_flat.fleshy,6.1,5.5,6.16,6.12,5.74,6.28
nose_hunched.fleshy,4.18,4.78,4.36,3.64,4.08,4.48
nose_flat.skinny,7.72,7.38,8.8,7.52,7.22,6.7
nose_hunched.skinny,3.54,4.54,5.12,7.72,4.2,4.22
nose_fantasy,6.04,6.4,7.34,7.16,6.96,7.56
lips_d,5.22,5.16,5.64,5.08,5.84,5.42
lips_m,6.78,6.74,8,7.1,6.94,8.24
lips_k,4.74,5.26,5.66,5.44,4.82,4.64
