,stratched.skin_gandom,stratched.skin_sabze,stratched.skin_white,roundness.skin_gandom,roundness.skin_sabze,roundness.skin_white
eyecolor_rangi,6.92,6.66,7.62,6.96,5.92,7.58
eyecolor_brown,7.98,7.44,8.14,7.52,7.04,7.88
eyecolor_black,8.16,7.76,8.24,7.94,7.58,8.16
eyesize_d,7.36,7.3,7.24,7.72,7.56,7.4
eyesize_r,4.24,4.08,4.2,4.1,3.98,4.22
eyesize_m,7.38,7.6,7.26,7.24,7.28,7.16
nose_flat.fleshy,5.74,5.52,5.96,5.9,5.82,6.28
nose_hunched.fleshy,4.54,4.36,4.1,4,4.3,4.02
nose_flat.skinny,7.88,7.86,8.16,7,7.2,7.46
nose_hunched.skinny,5.24,5.04,5.06,4.6,4.62,4.72
nose_fantasy,3.48,3.06,3.28,3.2,3.26,3.56
lips_d,5.14,5.02,5.3,5.22,5.08,5.22
lips_m,7.8,8.24,7.72,8.04,7.52,7.78
lips_k,5.48,5.7,5.54,5.46,5.2,5.5
