,stratched.skin_gandom,stratched.skin_sabze,stratched.skin_white,roundness.skin_gandom,roundness.skin_sabze,roundness.skin_white
eyecolor_rangi,7.62,6.7,7.86,7.38,6.74,8.76
eyecolor_brown,7.14,6.74,7.44,7.48,6.82,7.8
eyecolor_black,8.14,7.28,8.04,7.34,7.12,8.34
eyesize_d,7.6,7.64,8.22,7.9,7.96,8.36
eyesize_r,4.56,4.1,4.34,4.12,4.64,4.4
eyesize_m,6.82,6.92,6.74,6.96,7.18,7.16
nose_flat.fleshy,5.52,5.56,6.12,5.46,6,5.94
nose_hunched.fleshy,3.62,3.38,3.44,3.9,3.38,3.78
nose_flat.skinny,6.92,7.2,7.38,6.9,6.82,7.36
nose_hunched.skinny,4.14,4.02,4.34,3.96,4.04,4.1
nose_fantasy,6.68,6.62,6.66,6.96,6.72,7.46
lips_d,5.92,5.82,6.48,5.86,5.6,6.24
lips_m,7.46,7.44,7.76,7.8,7.74,7.74
lips_k,4.66,6.64,5.14,4.68,4.18,4.58
