quality_pre,quality_post,quantity_pre,quantity_post,score_pre,score_post,improvement,improvement_percent
72.616,72.576,40.0,40.0,112.616,112.576,-0.04000000000000625,-0.03551577788433066
64.024,72.124,45.0,37.5,109.024,109.624,0.5999999999999943,0.5502870664196436
65.43199999999999,72.304,42.5,42.5,107.93199999999999,114.804,6.872000000000014,6.366381945859827
65.984,66.21600000000001,37.5,42.5,103.484,108.71600000000001,5.2320000000000135,5.055365528436445
61.96,66.868,42.5,40.0,104.46000000000001,106.868,2.407999999999987,2.3049679333779904
60.896,69.368,40.0,40.0,100.896,109.368,8.471999999999994,8.395932848393548
63.832,66.868,40.0,37.5,103.832,104.368,0.5360000000000014,0.5161687948999455
70.896,72.304,40.0,40.0,110.896,112.304,1.4080000000000013,1.2695435774439625
69.368,66.868,42.5,37.5,111.868,104.368,-7.5,-6.703730849675539
61.96,60.535999999999994,37.5,40.0,99.46000000000001,100.536,1.0759999999999934,1.0817331858851846
62.428,66.484,37.5,40.0,99.928,106.484,6.555999999999997,6.560067241689844
61.391999999999996,58.488,45.0,42.5,106.392,100.988,-5.403999999999996,-5.078851901280047
63.964,66.616,37.5,37.5,101.464,104.116,2.652000000000001,2.6134773439501755
63.896,66.076,37.5,42.5,101.396,108.576,7.179999999999993,7.080448888625912
60.632000000000005,64.368,42.5,40.0,103.132,104.368,1.23599999999999,1.1983479087083728
63.932,69.27199999999999,37.5,40.0,101.432,109.27199999999999,7.839999999999989,7.72855424774747
63.96,66.616,42.5,40.0,106.46000000000001,106.616,0.1559999999999917,0.1465201465201387
63.396,65.224,42.5,37.5,105.896,102.724,-3.171999999999997,-2.9951088701301125
66.432,65.116,40.0,40.0,106.432,105.116,-1.3160000000000025,-1.2363540707615437
59.46,61.432,40.0,37.5,99.46000000000001,98.932,-0.5280000000000058,-0.530813310545899
67.168,68.036,42.5,45.0,109.668,113.036,3.367999999999995,3.0708072721967894
67.304,64.804,37.5,37.5,104.804,102.304,-2.5,-2.3851775526170167
59.44799999999999,64.27199999999999,40.0,40.0,99.448,104.27199999999999,4.823999999999998,4.85028856401697
61.96,65.224,37.5,37.5,99.46000000000001,102.724,3.263999999999996,3.281391374283699
64.532,69.356,0.0,42.5,64.532,111.856,47.324,73.32279755817916
60.076,67.876,37.5,37.5,97.576,105.376,7.800000000000011,7.9929498083741635
59.532,64.356,40.0,40.0,99.532,104.356,4.823999999999998,4.846195575736873
62.168,62.168,37.5,37.5,99.668,99.668,0.0,0.0
63.848,69.632,40.0,37.5,103.848,107.132,3.284000000000006,3.1620096670453948
62.032,64.27199999999999,42.5,35.0,104.532,99.27199999999999,-5.260000000000005,-5.0314706051156515
70.83600000000001,63.775999999999996,37.5,40.0,108.33600000000001,103.776,-4.5600000000000165,-4.208738670555458
61.964,67.576,42.5,37.5,104.464,105.076,0.6119999999999948,0.5857916802266543
68.56800000000001,69.024,50.0,40.0,118.56800000000001,109.024,-9.544000000000011,-8.048710553391025
61.94799999999999,69.448,37.5,42.5,99.448,111.948,12.5,12.568119206097046
66.96000000000001,69.632,37.5,40.0,104.46000000000001,109.632,5.171999999999997,4.950703551258731
66.524,69.976,45.0,37.5,111.524,107.476,-4.048000000000002,-3.629386554772537
